"""n°_transaction""",date,type,details,selection,description,pièce,billet,carte_bancaire,fidélitée,prix,insérée,rendue
65764.0,2025-07-01 17:49:03,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65763.0,2025-07-01 17:47:43,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65762.0,2025-07-01 17:46:02,démarrage,*,34.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65761.0,2025-07-01 17:45:35,démarrage,*,33.0,Détachant ,0.0,0,1.2,0,1.2,1.2,0.0
65760.0,2025-07-01 17:45:02,démarrage,*,33.0,Détachant ,0.0,0,1.2,0,1.2,1.2,0.0
65759.0,2025-07-01 16:40:39,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65758.0,2025-07-01 16:40:16,démarrage,*,14.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65757.0,2025-07-01 16:39:21,démarrage,*,13.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65756.0,2025-07-01 16:22:11,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65755.0,2025-07-01 16:21:55,démarrage,*,35.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65754.0,2025-07-01 16:09:23,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65753.0,2025-07-01 15:36:37,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65752.0,2025-07-01 15:36:26,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65751.0,2025-07-01 14:47:33,démarrage,*,13.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65750.0,2025-07-01 12:15:50,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65749.0,2025-07-01 12:15:14,démarrage,*,34.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65748.0,2025-07-01 11:26:43,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65747.0,2025-07-01 11:22:10,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65746.0,2025-07-01 11:13:54,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65745.0,2025-07-01 10:43:11,démarrage,*,14.0,Machine 16 kg,4.0,5,0.0,0,9.0,9.0,0.0
65744.0,2025-07-01 10:40:01,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65743.0,2025-07-01 10:10:05,démarrage,*,11.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65742.0,2025-07-01 10:09:31,démarrage,*,10.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65741.0,2025-07-01 10:02:14,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65740.0,2025-07-01 10:01:54,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
